moves,result
1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.O-O Nf6 5.d3 d6 6.c3 h6 7.Re1 O-O 8.h3 Bb6 9.a4 a5 10.Nbd2 Ne7 11.Bb3 c6 12.d4 Ng6 13.Bc2 Re8 14.Nf1 d5 15.Nxe5 Nxe5 16.dxe5 Nxe4 17.Bxe4 dxe4 18.Qh5 g6 19.Qxh6 Rxe5 20.Ng3 Qe8 21.Bf4 Re6 22.Rad1 Bd7 23.Be3 c5 24.b3 Bc6 25.c4 Rd8 26.Ne2 Rd7 27.Qg5 Qe7 28.Rxd7 Bxd7 29.Rd1 Qxg5 30.Bxg5 Bc6 31.Be3 Kf8 32.Nc3 f5 33.h4 Ke8 34.g3 Re5 35.Kf1 Bc7 36.Bf4 Re7 37.Bxc7 Rxc7 38.Ke2 Ke7 39.Ke3 Ke6 40.Ne2 Ke5 41.Nf4 Rg7 42.Rd8 g5 43.hxg5 Rxg5 44.Ra8 Kd6 45.Rxa5 Rg8 46.Ne2 Rd8 47.Nf4 Rh8 48.Ne2 Rd8 49.Nf4 Rh8 50.Ne2,0.5
1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O Nxe4 5.Re1 Nd6 6.Nxe5 Be7 7.Bf1 Nxe5 8.Rxe5 O-O 9.d4 Bf6 10.Re1 Re8 11.Bf4 Rxe1 12.Qxe1 Ne8 13.c3 d5 14.Bd3 g6 15.Nd2,0.5
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Nxc6 bxc6 7.e5 Nd5 8.Ne4 Qc7 9.f4 Qb6 10.a3 f5 11.exf6 Nxf6 12.Nxf6+ gxf6 13.Bd3 Bb7 14.Qh5+ Kd8 15.Bd2 c5 16.O-O-O Kc7 17.Bc3 Be7 18.f5 Rae8 19.fxe6 d5 20.Rhe1 Kb8 21.Qh4 d4 22.Bd2 Bd5 23.Qf4+ Ka8 24.Be4 Qb7 25.Qf3 Rd8 26.Bf4 Bxe4 27.Rxe4 Rd5 28.Qd3 Rc8 29.Qc4 Rdd8 30.Re2 Qd5 31.b3 Qf5 32.g3 Qd5 33.Qxd5+ Rxd5 34.c4 Rdd8 35.Kc2 Rc6 36.Rd3 h5 37.Rf3 Kb7 38.Bd2 Rdd6 39.Kd3 Ra6 40.a4 Rdb6 41.Kc2 Rxe6 42.Rxe6 Rxe6 43.Rf5 Re2 44.Rxh5 Bd6 45.Kd3 Rf2 46.Rh7+ Kc6 47.Rxa7 Rxh2 48.a5 Rh3 49.Ke4 Bxg3 50.Ra6+ Kb7 51.Rxf6 Bh2 52.Rh6 Rxh6 53.Bxh6 Ka6 54.Bf8 d3 55.Kxd3 Bg1 56.b4 cxb4 57.Bxb4 Kb7 58.Bc3 Bc5 59.Ke4 Ka6 60.Kd5 Ba3 61.Be5 Kxa5 62.Bd6 Bb2 63.Kc6 Ka6 64.Bc5 Bc3 65.Ba3 Bd4 66.Bb4 Be3 67.Bc5 Bd2,0.5
1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Bc5 6.c3 O-O 7.d4 Ba7 8.Re1 b5 9.Bc2 d6 10.h3 h6 11.Be3 Re8 12.Nbd2 Bb7 13.a3 Nb8 14.dxe5 dxe5 15.Bxa7 Rxa7 16.a4 Ra8 17.Qe2 c6 18.c4 b4 19.c5 Nbd7 20.Nb3 a5 21.Bd3 Qe7 22.Qe3 Nh5 23.Bc4 Nf4 24.Red1 Red8 25.Rd6 Ba6 26.Bxa6 Rxa6 27.Rad1 Ne6 28.Nfd2 Nexc5 29.Nc4 Nb7 30.R6d2 Raa8 31.Nb6 Nxb6 32.Qxb6 Rxd2 33.Rxd2 Nd8 34.Nxa5 Ne6 35.Nxc6 Qg5 36.Qe3 Nf4 37.g3 Rxa4 38.Kh2 Ra1 39.Nxe5 Nxh3 40.Qxg5 Nxg5 41.Kg2 f6 42.Nf3 Nxe4 43.Rd4 f5 44.Rxb4 Rc1 45.Nd4 g6 46.Rb6 Kf7 47.Kf3 Rf1 48.Ke3 Rxf2 49.g4 Rf1 50.gxf5 gxf5 51.Nxf5,0.5
1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.d3 Bc5 5.c3 O-O 6.O-O d5 7.exd5 Qxd5 8.Qb3 Bf5 9.Qxd5 Nxd5 10.Bxc6 bxc6 11.Nxe5 Bd6 12.d4 c5 13.Nf3 Rfe8 14.dxc5 Bxc5 15.Nbd2 Bd3 16.Rd1 Be2 17.Re1 Bb6 18.g3 a5 19.a4 Re7 20.Nh4 Rae8 21.Nf1 Bg4 22.Rxe7 Rxe7 23.Be3 Nxe3,0.5
1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.d3 Bc5 5.Bxc6 dxc6 6.Nbd2 Nd7 7.c3 O-O 8.O-O Re8 9.Nc4 Bf8 10.Be3 a5 11.Qc2 a4 12.d4 exd4 13.cxd4 Nb6 14.Ncd2 h6 15.Ne5 Bb4 16.f3 Be6 17.Nd3 Bxd2 18.Qxd2 Nc4 19.Qe2 Nxe3 20.Qxe3 Bc4 21.Rfc1 Bxd3 22.Qxd3 Ra5 23.Rc4 Qd6 24.Qc3 Rh5 25.g3 Ra8 26.e5 Qe6 27.Re1 f5 28.Qc2 f4 29.g4 Rh4 30.Rxa4 Rxg4+ 31.fxg4 Qxg4+ 32.Kh1 Qf3+ 33.Kg1 Qg4+,0.5
1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d3 d6 6.O-O O-O 7.Bg5 h6 8.Bh4 a6 9.a4 Ba7 10.Nbd2 g5 11.Bg3 Kg7 12.Re1 Nh7 13.b4 h5 14.h3 h4 15.Bh2 g4 16.hxg4 Bxg4 17.b5 Ne7 18.d4 Ng6 19.Be2 Qf6 20.bxa6 bxa6 21.Kh1 Nf4,0.5
1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 d6 8.c3 O-O 9.h3 Re8 10.d4 Bb7 11.Ng5 Rf8 12.Nf3 Re8 13.Ng5 Rf8 14.Nf3,0.5
1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 5.d4 d5 6.Bd3 Bd6 7.O-O O-O 8.c4 c6 9.Re1 Bf5 10.Qb3 Qd7 11.Nc3 Nxc3 12.Bxf5 Qxf5 13.Qxb7 Qd7 14.Qxd7 Nxd7 15.c5 Bxh2+ 16.Nxh2 Ne4 17.Bf4 Rfc8 18.f3 Nef6 19.Re3 Nf8 20.Rd1 Ne6 21.Be5 Nd7 22.Bd6 Nf6 23.Nf1 g6 24.Ng3 Ne8 25.Be5 a5 26.Ne2 a4 27.Ra3 f6 28.Bg3 N8c7 29.Bxc7 Nxc7 30.Nc3 Rcb8 31.Rxa4 Rxb2 32.Rxa8+ Nxa8 33.Rb1 Rxb1+ 34.Nxb1 Nc7,0.5
1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O Nxe4 5.Re1 Nd6 6.Nxe5 Be7 7.Bf1 Nxe5 8.Rxe5 O-O 9.d4 Bf6 10.Re1 Re8 11.c3 Rxe1 12.Qxe1 Nf5 13.Bf4 d6 14.Bd3 Be6 15.Nd2 Bg5 16.Qe4 d5 17.Qe5 Bxf4 18.Qxf4 Qd6 19.Qf3 g6 20.Re1 Ng7 21.Nf1 Re8 22.Ne3 Bf5 23.Bf1 Bd7 24.Qd1 Nf5 25.Nxf5 Rxe1 26.Qxe1 Bxf5 27.Qe8+ Kg7 28.Qb5 Bc8 29.g3 c6 30.Qe2 Qe6,0.5
