moves,result
1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 Nf6 5.Nxc6 bxc6 6.e5 Qe7 7.Qe2 Nd5 8.h4 d6 9.c4 Nb6 10.exd6 cxd6 11.Be3 Be6 12.Qc2 Qb7 13.Nd2 d5 14.c5 Nd7 15.Bd3 Be7 16.h5 h6 17.O-O O-O 18.Rfe1 a5 19.Nf3 Rfe8 20.Bh7+ Kh8 21.Bf5 Bxf5 22.Qxf5 Bxc5 23.Qxf7 Bxe3 24.Rxe3 Rxe3 25.fxe3 Qxb2 26.Rf1 Ne5 27.Qe6 Nxf3+ 28.Rxf3 Qxa2 29.Qxc6 Rg8 30.Rf4 Qa1+ 31.Kf2 Qb2+ 32.Kf3 Qe5 33.g4 Qa1 34.Kg2 Qd1 35.Qc5 a4 36.Kg3 Kh7 37.Qd6 Qb3 38.Qe6 a3 39.Rf7 Qb8+ 40.Kh3 a2 41.g5 hxg5 42.Qf6 Qb1 43.Ra7 Qh1+ 44.Kg4 Qg1+,0
1.e4 c6 2.f3 d5 3.d4 e6 4.Nc3 Bb4 5.Bd2 Ne7 6.a3 Ba5 7.h4 Nd7 8.h5 h6 9.Bd3 Bb6 10.Nge2 e5 11.exd5 exd4 12.dxc6 bxc6 13.Ne4 O-O 14.Nf4 Nd5 15.Qe2 Re8 16.g4 Bc7 17.Nh3 Bg3+ 18.Kf1 Nc5 19.Qg2 Nxd3 20.cxd3 Be5 21.Re1 Ba6 22.Nc5 Qb6 23.Nxa6 Qxa6 24.Nf2 Bf4 25.Ne4 Qxd3+ 26.Qe2 Qb3 27.Qd1 Qxb2 28.Rg1 Rxe4 29.fxe4 Bxd2 30.exd5 Bxe1 31.Qxe1 Qb5+,0
1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Nxe4 6.d4 b5 7.Bb3 d5 8.dxe5 Be6 9.c3 Be7 10.Nbd2 Nc5 11.Bc2 d4 12.Nb3 dxc3 13.Nxc5 Bxc5 14.Be4 Qd7 15.Qc2 Bd5 16.Bxd5 Qxd5 17.Qxc3 Nd4 18.Nxd4 Bxd4 19.Qxc7 O-O 20.Re1 Rfe8 21.Bf4 Bxb2 22.Rab1 Ba3 23.Qa5 Bf8 24.h4 Qe6 25.Bg3 Rac8 26.Rbc1 h5 27.Qd2 Be7 28.Qe2 g6 29.Red1 Rxc1 30.Rxc1 Rc8 31.Rd1 Rc4 32.Qf3 Kg7 33.Qb7 Bxh4 34.Bxh4 Rxh4 35.Qb8 Re4 36.f4 Qg4 37.Qd6 Qxf4 38.Rf1 Qxe5 39.Qxa6 Qd4+,0
1.b3 g6 2.Bb2 Nf6 3.e4 d6 4.f4 Bg7 5.Nf3 O-O 6.d3 e5 7.fxe5 Ng4 8.Nbd2 Nc6 9.Qe2 Ngxe5 10.d4 Nxf3+ 11.Nxf3 Re8 12.O-O-O Bf5 13.e5 dxe5 14.Nxe5 Nxe5 15.dxe5 Qg5+ 16.Kb1 Bxe5 17.Bxe5 Rxe5 18.Qc4 Rd8 19.Be2 b5 20.Qxc7 Rc8,0
1.e4 c6 2.b3 d5 3.Bb2 dxe4 4.Nc3 Nf6 5.Qe2 Bf5 6.O-O-O e6 7.h3 h5 8.f3 exf3 9.Nxf3 Nbd7 10.Nh4 Bh7 11.g4 Qa5 12.Qg2 hxg4 13.hxg4 g5 14.Nf3 O-O-O 15.Bd3 Ba3 16.Bxh7 Rxh7 17.Rhf1 Rdh8 18.Kb1 Bxb2 19.Kxb2 Nd5 20.Qg3 f6 21.Ne4 Qc7 22.Qg1 Kb8 23.Kb1 Rh3 24.Nd4 Qe5 25.Nf2 Rg3 26.Nd3 Rxg1 27.Nxe5 Rxf1 28.Nxd7+ Kc7 29.Rxf1 Kxd7 30.c4 Nf4 31.Kc2 Rh4 32.Rg1 Ng6 33.Nf3 Rh3 34.Rf1 Rg3 35.Rh1 Rxf3,0
1.c4 e6 2.g3 d5 3.Bg2 Nf6 4.Nf3 Be7 5.O-O O-O 6.d4 Nbd7 7.Qc2 h6 8.Rd1 c6 9.Nbd2 b6 10.e4 Bb7 11.e5 Nh7 12.cxd5 cxd5 13.h4 Rc8 14.Qd3 Nb8 15.Nf1 a5 16.Bd2 Ba6 17.Qb3 b5 18.a3 Nc6 19.Ne3 Qb6 20.Be1 Rc7 21.Bf1 Rfc8 22.Ng4 a4 23.Qe3 b4 24.Bxa6 Qxa6 25.axb4 Nxb4 26.Bxb4 Bxb4 27.Ra2 Rc2 28.Qd3 Qxd3 29.Rxd3 a3 30.Rb3 Bf8 31.Ne3 Rxb2 32.Raxb2 axb2 33.Rxb2 h5 34.Rb7 g6 35.g4 Bh6 36.g5 Bf8 37.Kf1 Ba3 38.Ke2 Bc1 39.Nd1 Nf8 40.Ne1 Ra8 41.Nc2 Rc8 42.Kd3 Ra8 43.Nc3 Nh7 44.Nb5 Bf4 45.Rd7 Nf8 46.Rb7 Rd8 47.Nc3 Nd7 48.Rb1 Rc8 49.Rb7 Rd8 50.Ra7 Bxe5 51.dxe5 Nxe5+ 52.Kd2 Nf3+ 53.Ke2 Nxh4 54.Nd4 Nf5 55.Nf3 Rc8 56.Nb5 Rb8 57.Nbd4 Rb2+ 58.Kf1 Nxd4 59.Nxd4 Rb4 60.Nc6 Rf4 61.Ke2 Kg7 62.Ke3 Re4+ 63.Kf3 e5 64.Rd7 Rf4+ 65.Ke2 Rf5 66.Rxd5 Rxg5 67.Rxe5 Rxe5+ 68.Nxe5 Kf6 69.Nd3 g5 70.Kf3 Kf5 71.Ne1 f6 72.Nc2 Ke5 73.Nb4 Kf5 74.Nc6 h4 75.Ne7+ Ke6 76.Nc6 Kf5 77.Nd4+ Ke5 78.Nc2 Kf5 79.Ne3+ Ke5 80.Kg4 Ke4 81.Nf5 Ke5 82.Ng7 Ke4 83.Nf5 Ke5 84.f3 Ke6 85.Nd4+ Ke5 86.Ne2 Ke6 87.Ng1 Ke5 88.Nh3 Ke6 89.Nf2 Ke5 90.Nh3 Ke6 91.Kh5 Kf5 92.Nf2 Kf4 93.Ne4 h3,0
1.c4 Nf6 2.Nf3 e6 3.g3 d5 4.Bg2 d4 5.O-O Nc6 6.d3 Bc5 7.Nbd2 O-O 8.Nb3 Be7 9.e3 dxe3 10.Bxe3 Ng4 11.Bc5 Bxc5 12.Nxc5 b6 13.Nd2 Nge5 14.Ncb3 Bb7 15.d4 Ng6 16.Re1 a5 17.Nf3 a4 18.Nc1 a3 19.b3 Qd6 20.Nd3 Nxd4 21.Nxd4 Bxg2 22.Nxe6 fxe6 23.Kxg2 Rad8 24.Re3 Ne7 25.Qg4 Nf5 26.Rf3 Qc6 27.Ne5 Qa8 28.Kg1 Rd4 29.Rf4 Rd2 30.Nf3 Rb2 31.Ng5 Qc6 32.Re1 Rf6 33.Qd1 h6 34.Ne4 Rf8 35.g4 Nd6 36.Rxf8+ Kxf8 37.Nxd6 Qxd6 38.Qf3+ Ke7 39.Qc3 Kf7 40.Qf3+ Ke7 41.Qc3 Kf7 42.Qf3+ Kg8 43.Rd1 Qf8 44.Qe3 Rxa2 45.g5 Qf5 46.Rd8+ Kh7 47.gxh6 Ra1+ 48.Kg2 Qg4+ 49.Qg3 Qxg3+ 50.hxg3 Kxh6 51.Ra8 e5 52.b4 a2 53.c5 b5 54.Kf3 Kg5 55.Ra7 e4+ 56.Kg2 Kf6 57.g4 g5 58.c6 Ke6 59.Kh2 Kd5 60.Ra6,0
1.e4 e5 2.Nf3 Nf6 3.d4 Nxe4 4.Bd3 d5 5.Nxe5 Nd7 6.Nc3 Nxe5 7.dxe5 Bb4 8.O-O Nxc3 9.bxc3 Bxc3 10.Rb1 O-O 11.Bxh7+ Kxh7 12.Qd3+ Kg8 13.Qxc3 a5 14.Qd3 Qd7 15.Rb5 Qc6 16.Ba3 Re8 17.Rc5 Qb6 18.f4 c6 19.h3 Qa6 20.Qg3 Bf5 21.Qg5 Be4 22.Bb2 Qb6 23.Bd4 Qd8 24.Qg4 Re6 25.f5 Rh6 26.Rf4 Qf8 27.Kh2 b6 28.Rc3 c5 29.Be3 Rh7 30.Rb3 Qd8 31.f6 Qe8 32.e6 Rb8 33.Bxc5 g6 34.Bd6 Rc8 35.e7 Rc6 36.Be5 Rh5 37.Bd4 Rxc2 38.Rg3 Kh7 39.Bxb6 Rxa2 40.Qd1 Qb8 41.Rxe4 dxe4 42.Qd8 Qe5 43.e8=Q Rxh3+ 44.Kg1 Qa1+,0
1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 c5 5.Ne2 d6 6.a3 Ba5 7.g3 d5 8.Bg2 dxc4 9.O-O cxd4 10.Nxd4 O-O 11.Qa4 e5 12.Nde2 Bxc3 13.Nxc3 Nc6 14.Qxc4 Be6 15.Qb5 Qc7 16.b4 a6 17.Qa4 Rfd8 18.Bb2 Rd2 19.Rab1 Bc4 20.b5 Bxf1 21.Bxf1 Ne7 22.bxa6 bxa6 23.Ne4 Qc2 24.Nxf6+ gxf6 25.Qb4 Nd5 26.Qb7 Rd8 27.Ba1 Rxf2 28.Re1 Rxh2,0
1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Be2 O-O 6.Nf3 e5 7.O-O h6 8.Qc2 Nbd7 9.Re1 Re8 10.Bf1 exd4 11.Nxd4 a6 12.f3 Ne5 13.Be3 c5 14.Nb3 Be6 15.Rad1 Qc7 16.Nd2 g5 17.b3 Rad8 18.Be2 Qa5 19.Nf1 Nc6 20.Bd2 Nd4 21.Qb1 Qc7 22.Ne3 Qb8 23.a4 Qc7 24.Nc2 Qb6 25.Bf1 Nh5 26.Nxd4 cxd4 27.Na2 Nf4 28.Nc1 d3+ 29.Kh1 Bxc4 30.Be3 Qb4 31.Bxd3 Nxd3 32.Nxd3 Qxb3 33.Nf2 Qxb1 34.Rxb1 d5 35.Rxb7 dxe4 36.fxe4 f5 37.exf5 Bc3 38.Ng4 h5 39.Nh6+ Kh8 40.Rc1 Rxe3 41.h4 gxh4 42.f6 Bxf6 43.Rxc4 Rd1+ 44.Kh2 Be5+ 45.g3 Bxg3+ 46.Kg2 Rd2+,0
